"NAME of Museum/Art Organization/Institution. Or REGION, MUSEUM TYPE, or # OF EMPLOYEES AT ORG (all museum types, profit/non-profit galleries, sizes, countries, warmly welcomed)",Role ,Department,City,Country,Starting salary ,Year of starting salary ,Current (2019) or Ending Salary,Hourly (H) /  Permanent (P) / Contingent/Finite Term Employment (C) ,"If part-time / Hourly (H) / Contingent/Finite Term Employment (C), how many hours/week",Benefits?,"Year this salary was current (if a current salary, put 2019)",Years of experience in field at time of current salary listed,Parental leave policy at organization (+ who is eligible),"Optional: Identify your gender or preferred pronouns--ND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Optional: Identify your race with your preferred designation AND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Degrees required for position when hired/If applicable, if institution helped pay for furthering your education",Visa sponsorship paid/facilitated by organization,Notes
The Museum of Fine Arts Houston,,Conservation,Houston,USA,"80,000","$2,013.00 ","91,000",P,,"health, vision, dental",,10,only federally mandated 3 months without pay,female,,Ph.D.,,
"The Museum of Modern Art, New York",Curatorial fellow,,New York ,USA ,"32,000","2,018.00","32,000",C,40,No,2019,10,None,Female,,MPhil,,
"[Historical Society, Mid Sized Southeast]",Programs + Membership Coordinator ,NA,,USA,37000,2017,40789,,,"401k, 37.5 hours per week, basic insurance, 3 weeks vacation, sick time ",2019,11,"3 months paid, flexible with bringing baby to office ",Female,White,B.A,,Great and flexible working environment. 
[Mid-sized art and historical society],Associate Curator,,Pittsburgh,USA,35000,2015,40000,P,exempt,Yes,2019,11,"FMLA up to 12 weeks, short-term disability",Female,White,MA,,
[Midsize West Coast Art Museum],Assistant Curator,Curatorial,,US,"$53,000.00 ","$2,017.00 ","$54,600.00 ",P,,"yes (medical, PTO, 401k match, etc)",2019,11,unpaid maternity leave,female,,"PhD, yes",n/a,"used AAM survey and glassdoor to negotiate starting salary up $5k. In retrospect, wish I had asked for $8k up, which was in line with data. Was explicitly trying to softball down."
"[Midwest Art Museum (non-profit, 60 employees)]",Assistant Collections Manager,Collections,,USA,"29,120","$2,014.00 ","35,360","H,P",40,"403(b), HSA",2019,11,,female,white,M.A.,,
[Site of architectural & historical significance],"Development Coordinator, ultimately Director",Administration,Philadelphia,United States,"32,000",2011,"38,000",P,N/A,Yes,2015,11,No set policy - worked out with Exec. Dir.,Female,Caucasian,Master’s in Historic Preservation or related,N/A,
"[Southeast Cultural and Natural History Museum, 100 employees]",supervisor/curator,exhibits,,USA,"48,000",2016,"49,000",P,,yes,2019,11,maternal leave for full time employees,female,white,BA,,
"[Southwest, Mid-sized Art/Anthropology museum] ",Registrar,Collections,Santa Fe,New Mexico,"44,000",2019,2019,H/P,,"Medical, Dental, Vision, Retirement",2019,11,12 weeks FMLA,Female,Hispanic,Minimum B.A.,No,
[University Gallery in Tennessee],design and communications coordinator / collections manager ,School of Art,Knoxville,United States,"$23,337 ",2010,"36,961",permanent,,"Yes, health, pension, employer contributed retirement, employee tuition waiver",2019,11,FMLA 12 weeks unpaid,female,white,"BA, MA preferred",,
Cubitt Education,Schools & Young People Programme Manager,Education,London ,UK,"£26,000","$2,017.00 ",£26520,P,14 hours p/w,,2019,11,None,Female,White ,Masters degree,N/A,
Historic Richmond Town,Executive Director & CEO,Administration,New York City,United States,"115,000",2018,,P,,"Health (vision & eye), Life Insurance, 401(k), Pension",2019,11,yes - women,female,white ,MA,,
Living History Museum,Educator,,,USA,$8 ,"$2,008.00 ",$10 ,"Part Time, Seasonal",,None,2019,11,No,Female,Mixed,No,No,
Metropolitan Museum of Art,Collections Specialist,,New York,USA,"$38,000 ",2008,"$58,500 ","P (started in hourly position, promoted twice)",,,2019,11,,Female,White,MA,,
Smithsonian,Education Specialist,Education,DC,US,"61,000",,"69,000",P,,Y,2019,11,Unpaid 12 weeks,Female,White,Masters,,
The New York Public Library,Conservation Technician - Exhibitions,Conservation,New York City,USA,"$29,000 ",2011,"$35,000 ",P,,Yes,2018,11,,Female,White,BA,,
The Walters Art Museum,Education Coordinator,Education,Baltimore,United States,"$32,000 ","$2,014.00 ",$17.37/hour,Hourly,,"medical, dental, and vision",2019,11,,Female,White,"Bachelor's required, Master's preferred ",,
University of Wisconsin-Milwaukee Union Art Gallery ,Manager and Curator ,Student Involvement ,Milwaukee ,USA,$12/hour,2019,$12/hr,H,40,No,2019,11,NoneFemale,Female,White,Currently enrolled Graduate Student,,
"[Academic History Museum, Georgia]",Curator,History,Metro-Atlanta,United States,"63,036","$2,015.00 ","63,036",P,,"Yes: Medical, Dental, Vision, Disability",2019,12,one family member 12 weeks,female,white,Masters,N/A,
[Chicago area university art museum],Curatorial Fellow,Curatorial,Chicago,US,"$50,000.00 ",,"$50,000.00 ",C,,Yes,2019,12,,Female,Black,PhD,,
[Federal Art Museum],Library Technician,Library,"Washington, DC",USA,"$41,330 ",2015,"51,718",P,,Y,2019,12,Y- with leave donations,Female,White,MLS/no,N/A,"Officially, MLS was not a requirement for the job, but in reality, all the applicants had their MLS, which meant for this entry-level position the MLS was a de facto requirement."
[Historic Ruin & Park/Virginia],Educator,Sole entity of Education,,U.S.A.,"$25,000 ","$2,013.00 ","$48, 000",,,"2 weals vacation, comp time, in the past year. ",2019,12,unknown,female,white,"requested historic preservation or related degree, but have a BA if Fine Art/no help",,"I would love to be privately interviewed about my unique experiences. You are initiating important documentation. I am very happy where I work, but wish to consider what comments are public. There is a lot of pressure knowing you work for peanuts, serving an affluent board, but provide a service to both a national and an under-serviced community. "
"[historic site and museum in MA, 2FT, 3PT employees]",Executive Director,,,USA,"$56,000 ",,"$60,000 ",Full time permanen,,yes,2019,12,no,female,,"masters, no support for additional PD or education",,
[History museum],Education Manager,,"Las Vegas, NV",United States,"$45,000.00 ","$2,015.00 ","$54,900.00 ",P,,,2019,12,,Female,"Mixed race, white passing","BA, but I had an MA",,
"[mid-size, Massachusetts, Children's Museum]",,Education,,USA,"41,000",2016,"51,500",,,"health insurance, paid time off",2019,12,new Massachusetts law being implemented this year,female,white,BA ,,
[Mid-Sized Museum in Southeast],Curator of Collections,Curator,,US,"$43,000 ",2017,"$51,000 ",P,,Yes,2019,12,,Female,,Masters,,
"[Nevada, History Museum]",Curator,,Las Vegas,US,"$37,500 ","$2,012.00 ","$56,000 ",P,,"Medical, dental and vision. Employee pays 50%ish",2019,12,FMLA only,Female,White,"BA/BS, Museum only helps Directors with tuition",,
[Philadelphia area museum],Director of Public Programs,Education,Philadelphia,USA,"$42,000 ",2017,"$54,000 ",P,,"health, 401k match, vacation, sick",2019,12,,female,white,,,Hold master's in museum education
[private art foundation in southwestern USA],Registrar,Collections,,USA,"$53,000 ",2018,"$53,000 ",P,,"PTO, 401k",2019,12,,female,,,,
[Science museum with 10 employees] ,Development Director ,Development ,"Asheville, NC",USA,"$42,500 ",2018,,P,,None,2019,12,,Female,White,,,
[Small Historic House Museum] ,Executive Director,Administration ,New York Coth,USA,"$75,000.00 ","$2,019.00 ","$75,000.00 ",P,,Health Insurance ,2019,12,State ,Female,White ,MA,N/A,
[Small Los Angeles History Museum and Cultural Center],Senior Curator,Curatorial,Los Angeles,USA,"75,000","$2,015.00 ","85,000",P,,PPO coverage and vision/dental for me/helped arrange but did not contribute to retirment funding,2019,12,,Female,White,I had a Ph.D. and MA; only the MA was required,,
"[State Historical Society, Midwest]",Outreach Coordinator,,,United States,"$24,336 ","$2,014.00 ","$45,760 ",HC,"Started part-time at 24 hrs/wk, then transitioned to full-time",Access to retirement plan and paying into health insurance after 1 year,2019,12,"None, but permanent employees can use vacation/sick time or FMLA",Female,White,Graduate degree or certificate,,
Boston Mid-Sized Museum,Community Partnerships Manager,Visitor Center,Boston,US,"$38,000.00 ",,"$41,000.00 ",P,,Y,2013,12,,Female,White,BA,,
Cubitt Gallery,Curatorial Fellow,,London,United Kingdom,"$17,500.00 ","$2,018.00 ","$17,500.00 ",Finite,24.5,,2019,12,,female,white,none,,
Imperial War Museums,Senior Producer,Public Engagement and Learning,London,United Kingdom,"£30,907","$2,019.00 ","£30,907",P,21 hours,8% pension contribution,2019,12,6 months full pay after year for mother. Standard for paternity. Same for adoption.,Female,White,None,No,
"McClung Museum, University of Tennessee",Assistant Director / Curator,Curatorial,Knoxville,USA,"$35,000 ",2012,"$54,312 ",P,40 hours/week,Yes,2019,12,"As staff at University, 0 days parental leave; Faculty get 1 semester of paid maternity/paternity leave",Female,White,Masters,n/a,I make about 1/2 the salary of our top-paid (male) curator
"McClung Museum, University of Tennessee",Assistant Director / Curator,Curatorial,Knoxville,USA,"$35,000 ",2012,"$54,312 ",P,40 hours/week,Yes,2019,12,"As staff at University, 0 days parental leave; Faculty get 1 semester of paid maternity/paternity leave",Female,White,Masters,n/a,I make about 1/2 the salary of our top-paid (male) curator
Philadelphia Museum of Art,Assistant Curator,,,US,"$61,000.00 ",,"$61,000.00 ",P,,yes,2019,12,,Female,white,"MA, MPHIL, MPHIL + ABD--almost PhD",,
The Metropolitan Museum of Art,Administrator,,New York,,65000,2014,75000,P,,,2019,12,,Female,,BA,,
[Large Midwest history museum],Assistant Registrar,Collections,,USA,"39,000",2016,"40,800",H/P,35,Yes,2019,13,No,Female,White,Masters degree required,,
"[Mid-Atlantic, Nonprofit Contemporary Art Center, 4 FT employees]",Curator,,,,"53,000",2018,"53,000",P,,Yes,2019,13,"15 days paid leave, may request additional unpaid time off. Total time off not to exceed 90 days. Any new parent is eligible after birth or adoption.  ",Female,White,,,
"Museum of Fine Arts, Boston",Associate Conservator,,Boston,USA,"$40,000.00 ","$2,009.00 ","$59,000.00 ",P,,"Health Insurance, Retirement contribution of 3% matched with 8% by institution",2019,13,MFA takes away all accumulated sick and vacation days for up to 3 months paternal leave,Female,White,Master or equivalent,Yes,
Nelson-Atkins Museum of Art,Division coordinator,Design & Experience,Kansas City,United States,"50,000","$2,019.00 ","50,000",,,"health, dental, EAP, 403(b)",2019,13,FMLA,female,caucasian,Bachelors ,,
"Orange County, California",Curator,Curatorial,,US,"$48,500 ",2014,"$65,000 ",P,,Yes,2019,13,,Female,White,"Masters, tuition reimbursement ",,
Philadelphia Museum of Art,Curatorial Assistant,,Philadelphia,USA,$15/hr,2006,$19.30/hr,H-P,,Yes,2019,13,FMLA,Female,,"Master’s Degree preferred, no financial aid",,
Saint Louis Art Museum,Curatorial Research Assistant,curatorial,St Louis,United States,"19,200",2019,"19,200",H,30 hours/week,"PTO, sick time, paid holidays",2019,13,FT staff only,female,,PhD,,
"[Academic Art Museum, Midwest]",Assistant Curator,Curatorial,Midwest,United States,"60,000",2019,"60,000",P (tenure track),,health and dental insurance offered,2019,14,,Female,,Ph.D.,,Salary is for a joint position. Concurrently assistant professor in art department. Receive release from teaching one course each semester to do museum work (2/2 load instead of 3/3). Summer release from teaching and museum work.
[Large West Coast Zoo],Evaluator,Education,,USA,"$50,000.00 ",,"$60,000.00 ",P,,Y,2019,14,,Female,white,Masters preferred,No,
[Medium/Large Art Museum],Director of Digital,,Chicago,USA,"70,000",2014,"94,000",P,,"Health, Retirement fund after 2 years",2019,14,only ,female,white,,,I think a question missing from this questionnaire is the total annual operating budget: 20-25 million
[South Florida],Registrar ,,Palm Beach County,United States,36000,2007,45000,Hourly,35,No,2019,14,None,Female,White,Bachelors Degree ,,
Artist's Studio,Artist Assistant,Production,Los Angeles,USA,$20/hr employee,2014,$18/hr freelance,$18/H,$18/hr variable up to 60 hours/wk,30% discount on studio space,2019,14,n/a,female,caucasian,n/a,n/a,
Henry Art Gallery/ University of Washington,Associate Curator of Public/Youth Programs,Education,,US,"$46,000.00 ",,"$56,000.00 ",P,,,2017,14,4 weeks parental leave,Female,White,,,
Woodland Park Zoo,Educator,Education,,USA,$14/hr,,$20/hr,P,,Y,2019,14,,Female,white,Bachelors required,No,
[100 FT Employees],Director,Operations,New York,,"90,000","$2,015.00 ","95,000",,,,2019,15,,Female,,,,
"[Art Museum, 150 employees]",Technology,,San Francisco Bay Area,USA,67000,,2019,C,,Full,2019,15,#NAME?,Female,White,"MA, no",,
[Arts Non-Profit],Grant Writer,Development,Kansas City,USA,"50,000",2018,"50,000",P,,"Yes (medical, dental, retirement, etc)",,15,12 weeks of paid leave for all parents,Female,White,Bachelor's required,,
[Auction House],VP,,New York,United States,"$175,000 ","$2,018.00 ","$180,000 ",P,,"Health insurance, paid maternity leave, student loan contribution, 401K",2019,15,Mother,Female,White,n/a,n/a,
[Large Art Museum - Canada],Assistant Curator,,,Canada,"$67,500 ",2018,"$67,500 ",P,,Yes,2019,15,,Female,White,MA (mine is in Art History),,Unionized
[Mid Size California Art Museum],Associate Curator,Curatorial,,USA,50000,2012,65000,P,,"401k match, health insurance (with employee contribution)",2019,15,unpaid leave after 1 year as per California law,Female,Mixed race,MA,,I have a PhD
[Mid-Atlantic art museum (45-50 employees)],Librarian and Archivist,Library,,,"$45,000 ",2008,"$55,000 ",P,,"Medical, dental",2019,15,Short-term disability only,Female,,Master's degree from ALA-accredited program,,
[Mid-sized College Art Museum in New England],Database Manager,External Affairs,,USA,"48,000",2016,"50,000",P,,"Yes, generous retirement, medical, dental, vision, etc.",2019,15,"All parents eligible for something, FMLA, short-term disability for 8-12 weeks for child-bearing parent only",female,asian and white,Bachelor's,not sure,
[Mid-sized local authority museum],Curator,Human history,,United Kingdom,£23000,2017,£24000,P,,"4 weeks’ paid holiday plus public holidays, increasing with every 5 years’ service",2019,15,"One year’s paid leave, transferable between parents",Female,White,MA or equivalent experience,No,
[Midwest History Museum],Registrar,Museum,,United States,"35,000",3,"45,000",P,,Full benefits,2009,15,,Female,Caucasian,MA,,
[Midwest University Art & Anthropology museum],Executive Curator,,,,,,"62,500",P,,yes,219,15,,Female,caucasian,Masters degree,,"Job encompasses all executive, curatorial, collections management, registrarial and clerical aspects for collection of more than 30K objects. Only one additional staff member for Exhibit prep"
"[Midwest, midsize private  museum]",Assistant Curator,Education ,,USA,"37,900",2017,"39,000",P,,Not used,2018,15,Unsure,Female,White,Bachelor in listing- all candidates had masters +,,You should add age to this compilation. As a middle aged woman it is hard to find positions at any salary and I have a great deal of experience.
"[Museum in New York, staff size: 20]",Project Manager,Museum,New York,United States,"$102,000.00 ","$2,019.00 ",,(C),40,None,2019,15,,Female,Hispanic,Master,None,
[Museum#150+],Digitization Specialist,collections,Seattle,United States,"40,000","$2,016.00 ","45,000",(H),,"Sick, vacation, health, dental",,15,Maternal and paternal,Female,white,"Bachelors must, masters prefered",,
[non-profit large museum],Image Manager,Publications,New York City,United States,,,"82,000",permanet,,yes,2019,15,"combination of short term disability, paid family leave, family medical leave, and PTO. Can ultimately take 6 mo, & be guaranteed your job, but not all is paid for.",female,white,,,
[Nonprofit contemporary art museum in Mountain West region],Curator of Education,Education,,United States,"49,000",2017,50000,C,,Yes.  Minimal.,2019,15,Yes.  Probably the minimum.,Female,White,Masters,,Salary range should be included on all nonprofit (and other) job postings.  There is so little transparency in our field.
"[Nonprofit Gallery, Bay Area]",Development & Communications Manager,Development,Bay Area,USA,"58,000",2016,"67,000",P,,"Medical, Dental, Vision, 401K w Match",2019,15,,Female,White,BA,,
[Ohio Gallery ],Director,Exhibitions,,USA,$24.00 ,,,H,,Yes,2019,15,,Female,white,,,
[Small garden and gallery],Education Director,Education,NYC,US,,,"77,000",P,,"medical, dental, 401K, 3 weeks paid vacation, 12 sick days, 3 personal days",2019,15,NYS family leave; FMLA,Female,White,Master's prefered ,,
[university art museum in the southwest],Chief Conservator ,Conservation,Tempe ,USA,"$80,000 ",2014,"$81,000 ",Permanent,,Full,2019,15,Unpaid parental leave policy - up to 6 mths ,Female,,MA required / institution did not help pay for the degree although the univ does provide free continuing education for employees ,n/a,
[Washington State/History Museum],Collections Manager,Curatorial,Seattle,United States,"65,000",2014,"81,582 (Includes 5,122 Yearly Bonus)",P,,Full Benefits,2019,15,16 Weeks (Mother)/8 Weeks (Other Parent),Female,Option 1,College Degree with Experience or Master's Degree,,
Local History Museum in Southeast,Collections Manager/Registrar,Collections,,USA,"$23,000 ",,"$41,000 ",P-full time,,yes,2019,15,"FMLA, four weeks of paid leave, can use vacation, sick and accrued comp.",Female,White,BA,,"The first 13 years in the position, there was only medical benefits, which lapsed during the recession due to budget cuts.  Institution recently became a department in the local government, which has a led to full benefits including a retirement pension."
Metropolitan Museum of Art,Administrator ,,,US,"$80,000 ",,"$118,000 ",P,,,2018,15,,Female,white,,,
Metropolitan Museum of Art,Associate Collections Manager,,,US,"$27,000.00 ",,"$59,000.00 ",P,,,2019,15,,Female,White,,,
The Dowse Art Museum,Director,Management,Lower Hutt,Aotearoa New Zealand,"NZ$118,000",2012,"NZ$127,000",P,,"3% retirement contribution, 5 weeks annual leave",2018,15,Yes ,Female,Pākehā,No requirement,No,
The Kitchen,Curator,Curatorial,New York City,USA,,,"$50,000 ",P,,,2019,15,,Female,,,,
The Metropolitan Museum of Art,Assistant Curator,,New York,United States,"58,005.00",2015,"61,900.00",P,,Yes,2019,15, ,Female,Option 1,"PhD, tuition remimbursement",,White
The Museum of Modern Art,Editor,Publications,New York,USA,"39,000",2006,"103,000",P,,Yes,2019,15,,Female,White/European-descended,,,This is the minimum required by our union contract (based on my title and years in current title) 
The National Museum of Ukrainian History,Research fellow,Education and Methodology Department ,Kyiv,Ukraine,8000 hryvnas (equivalent of 303$) per month,"2,016.00",8300 hryvnas (314$) per month,P,,"partially compensated sick leaves, free visits to any Ukrainian museums",2019,15,"The state policy, both female and male workers are eligible",female,Caucasian,None,No,"The salary is high in comparison to the regional museums and those that do not have the status of a National one. On average, a museum worker (research fellow) earns about 120$ a month, which is less than utility bills"
Thoma Art Foundation,Education Program Manager & Grants Coordinator,Education & Grants,Santa Fe,Santa Fe,20.00 hr.,2016,2018- 20.00 hr.,,,PTO- 48 hrs. annual vacation time,,15,,female,white,,,
[County Historical Society],Executive Director,,Winona,United States,"$65,000 ","$2,019.00 ","$65,000 ",P,,4% of salary 401c(3) match; $1500/mo reimbursement for medical insurance,2019,16,none,female,caucasian,Masters,n/a,
[Historic House Museum],Interpretive Coordinator ,Education ,"Columbia, SC",USA,"36,000",2014,"42,000",P,,Yes,2019,16,"Short term disability, 6 weeks, full time employees",female,white,MA/MS preferred.  No offer to pay for education,,"My organization does give an annual cost of living increase and a good PTO plan of 5 sick days and 5 vacation days a year, with an additional day given each year.  It is seen as generous in the field, but it is still a difficult amount to live on with a family.  "
[SE US Art Museum],Registrar,Collections,,,"50,000","$2,014.00 ","56,000",P,,"Health ins., PTO, 403b",2019,16,,Female,White,MA,,
[University art museum w/20 F/T staff],Marketing & PR Manager,Administration/Marketing Communications,Dallas,United States,"40,000","$2,011.00 ","47,000",P,,"Health, dental, vision; life Insurance, AD&D, LTD; tuition benefits; 403(b) and healthcare retirement accounts",2019,16,paid leave to benefits-eligible staff,female,white,"bachelors required, masters preferred",n/a,
[Large federal institution],Exhibits Curator,Exhibits,"Washington, DC",USA,,,"$109,000 ",P,,Standard federal,2019,17,Unpaid FMLA,Female,White,Graduate,,
[Mid-Sized Mid Atlantic Museum] ,Preparator - Chief Framer - Courier,Collections and Exhibitions,,USA,"$31,000 ",2009,"$38,000 ",H,40,"Full Medical, Dental, Vision, Retirement match, Paid Vacation and Sick time",2019,17,None,Female,Caucasian,B.A. - no,None,
"[Midsize history museum], Virginia",Education Director,Education,,US,"$50,000.00 ",,"$51,500.00 ",P,,,2019,17,"FMLA unpaid (all eligible), short term disability for women after birth, PTO for F/T and (after 1 yr) P/T staff",Female,White,MA,,
[New England history museum],Director of Education,Education,,,"$63,000 ","$2,017.00 ","$65,000 ",P,,"Health/dental insurance, vacation/holidays/personal days/sick days, 403B contribution",2019,17,12 weeks,Female,White,MA,,"We are constantly asked to “do more with less,” often working 45-50 hour weeks, and while I keep arguing to get raises for my staff, both full-time and part-time, who are paid very low salaries in a very expensive area of the country, the powers-that-be refuse every time due to “budget concerns” that never seem to affect their salaries and bonuses at all. Yet after I read this spreadsheet, I actually feel rather fortunate. And for the first time in my two-decade career I’m seriously considering a career change. Thank you for starting this project."
Collin County Farm Museum,Museum Director,County Government,McKinney,United States,"$38,000 ","$2,011.00 ","$55,610.87 ",H,46,"Health Insurance, Government Retirement, Life Insurance",2019,17,na,Female,Caucasian,Masters,,Disabled - Severe Hearing Impairment
J.Paul Getty Museum,Mountmaker,Antiquities Conservation,Los Angeles,USA,"50,625.12",2015,"60,781.76",Hourly/Permanent,,Yes,2019,17,"12 weeks, but if both parents employed 12 weeks combined total",Female,Biracial Asian-American,Bachelor's,,
Philadelphia Museum of Art,Coordinator of Collections Research and Documentation,Executive,Philadelphia,US,,,"54,000",P,,Yes,2019,17,,Female,White,,,
[Art Museum 300 employees],Director,Development,Detroit,USA,45000,2011,90000,P,,,2019,18,,Female,Caucasian,BA,n/a,
[Large history museum ],Conservator,Conservator,"Washington, DC",United States,"38,000",2003,92000,permanent,,"health, dental, life, annual & sick leave",2019,18,FMLA,Female,Asian American,"Master's Degree, no institutional assistance",,My position is federally funded.
"[Small non-collecting museum, New York]",Director of Communications,Communications,New York City,USA,"60,000","$2,012.00 ","72,000",P,,Yes health,2019,18,,Female,White,BA,,
[Small Non-Profit Arts Institution in Philadelphia],Curator of Artistic Programs,Artistic,,US,"62,000",,"65,000",P,,yes,2019,18,,Female,White (immigrant parent),MA,,
[University museum in SE US],Curator,Anthropology ,,USA ,"$36,000 ","$2,009.00 ","$49,000 ",P,,Yes,2019,18,"12 weeks FMLA, paid only if you sufficient sick and vacation time",Female,Hispanic/white,MA. Employees receive tuition waiver but was never encouraged to use,NA,
Institute of Contemporary Art Philadelphia ,Registrar,,,US,"$45,000.00 ",,,,,,2019,18,4 weeks parental leave,Female,White,,,
NPS,Senior Conservator,NE Regional Center,Lowell,United States,"37,288",2000,"96,510",Term,40/wk,Full Gov. Benefits,2019,18,none,female,Caucasian,Masters or equivalent,no,
SFMOMA,Data Integrity Coordinator,CRM Enterprise Services,San Francisco,USA,49285.6,2017,50759.8,H/P,35 hrs/week,"health care, dental, vision",2019,18,not sure,female,"black (but mixed: latina, arab, native and SE Asian)",B.A.,,
Smithsonian,Archivist,,"Washington, DC",US,"$40,641 (IS scale; Grade 7, Step 2)",2008,"$65,176 ",P - Trust (non-federal),,"health/dental, transit benefits, annual leave, sick leave",2019,18,,Female,White,Masters ,,
Evergreene Archetectural Arts,Conservator,Restoration,New York,U.S.A,$20 ,2010,$20 ,H,,No,2019,19,No,Female,White,,,"Private company that hires on a project base employment. Base hourly rate is $20, but most of the time projects are prevailing wage."
Fine Arts Museums of San Francisco,Head Conservator,Conservation,San Francisco,US,"57,000 as Associate","$2,007.00 ","118,000",P,,yes,2019,19,both parents,female,white caucasian,MA,,
Los Angeles County Museum of Arts,Assistant Conservator,Conservation,Los Angeles,U.S.A,58471.92,2017,60226.08,C,,"Health, Dental, Eye, Vacation, and Sick",2019,19,Yes,Female,White,M.A.,,
Metropolitan Museum of Art,Curator,,New York,USA,,,"135,000",P,,Yes,2019,19,,Female,White,Ph.D.,,
OPIFICIO DELLE PIETRE DURE - MINISTER OF CULTURAL GOODS ITALY,RESTAURER,RESTAURATION DEPARTMENT,FLORENCE,ITALY,1000 EURO,2000,1400 EURO,P,,70 EURO PER MONTH FOR HAVING TWO UNDER AGED CHILDREN,2019,19,3 MONTHS FULL SLARY,FEMALE,WHITE EUROPEAN,BACHELOR OF ARTS IN CONSERVATION,NO,THE SALARY IS A SCANDAL EVEN FOR ITALIAN / EUROPEAN STANDARDS
"[Art Museum, Southeastern U.S., @20 full-time employees, @10 part-time, non- profit]",Marketing Director,,,U.S.,"44,900",2017,"49,900",,,"Medical, Dental, Vision, 403b retirement",2019,20,,Female,Caucasian,,,
[intentionally left blank],Chief Curator,,Denver,United States,"$105,000 ","$2,017.00 ","$113,000 ",P,,"Health, dental, vision",2019,20,FMLA (both),Female,,MA,,
"[Large Art Museum, Midatlantic]",Publishing Director,,,United States,"108,000",,"111,000",P,,"Yes; medical, dental, vision; 403B retirement package",2019,20,Unpaid (need to use sick/vacation) but guaranteed; all parents,Female,White,MA,,
[Large Museum in Mexico City],Curator,Curatorial,,MEXICO,"$10,800.00 ",,"$10,800.00 ",C,,,2019,20,None parental leave for my kind of contract.,Female,Brown Mexican,Masters degree requeried,,"20 years of experience in Mexico and abroad. My type oc contract is ""normal"" for curators in my country in gubernamental museums. No benefits, no parental leave, but our qualificalitions must be MA PHD and bilingual. "
[Major Art Gallery],Project Manager,Exhibitions,Ottawa,Canada,"$68,000 CDN ($50,700 US)",2017,"$71,000 CDN ($52,950 US)",C,,Full,2019,20,1 year paid at 55% (both eligible),Female,White,"BA, PMP",No,
[Museum on Long Island],Assistant and Coordinator ,Administration ,,,14 per hour ,2011,18 per hour ,Per hour ,35,"Health, 401K",2019,20,FMLA NY,Female,White,Bachelors ,,
[Regional Art & History Museum],Chief Curator,Curatorial,"Small City near Seattle, WA",USA,"22,000",2018,"22,000",P,30 hours/week,None,2019,20,None,Female,Other,"MA, No",No,
Baltimore Museum of Art,Associate Curator,,,,,,"44,000",F,,Good benefits from City of Baltimore,2017,20,None,Female,White,MA,,
Metropolitan Museum of Art,Conservator,,,US,"$35,000.00 ",,"$107,000.00 ",P,,,2019,20,,Female,White,,,
MoMA,Preparator,,NYC,US,$25/hr,,"$83,000.00 ","C for 3 years, then P",,,2019,20,,Female,White,,,
Museum at University of Texas Austin,Registrar,Exhibitions,Austin,USA,"$46,000.00 ","$2,017.00 ","$46,000.00 ",P,,"Health, Dental, Vision, Life, Retirement",2019,20,yes,female,white,MA,N/A,"I was earning $50,000 as Registrar for art museum in different state. "
Peoria PlayHouse Children's Museum,Director   ,,"Peoria, IL",USA,"65,000",,"$70,000 ",P,,Y,2019,20,unknown,Female,white,college,,
Skirball Cultural Center and Museum,Registrar,Museum,Los Angeles,USA,52000,2015,59000,P,,Med/Dental/Vision/403b,2019,20,"Disability and FMLA, both parents",Female,Mixed breed,BA,,
The Blanton Museum of Art,Matting and Framing Preparator,Collections,"Austin, TX",United States of America,"$35,000 ","$2,016.00 ","$35,367 ",P,,"Health, Retirement",2019,20,None,Female,Caucasian,High School Graduation or GED,No,
"[Non-profit museum in Western NY, 100 employees, around since the late 1840's]",Collection Manager,,Rochester,United States,"18,000","$1,998.00 ","47,500",Permanent,,"Health care and dental, paid time off, retirement options",2017,21,All full time employees can take time off according to state and federal regulations.,female,white,,,
[NYC History Museum/ Cultural Center],Curator,Curatorial,New York,USA,"150,000","$2,018.00 ","150,000",P,,"health, dental, vision, 403b with match, and 10 days vacation, 5 days sick, 12 holidays",2019,21,N/A,Female,White,"No degree required, 10 years experience ",,
[Gallery Stratford],Director / Curator,,"Stratford, ON",Canada,"$50,000 Canadian",2015,"$50,000 Canadian",P,,none,2019,23,none,Female,White,BA in Art with graduate degree preferred,n/a,"We are a charitable non-profit art museum, not municipally or university run, 2.5 FT employees, 9 seasonal FT employees, 15 part-time contract art instructors and installers."
[Private art museum],Senior Textile Conservator,Conservation ,Boston,United States,"$35,000 ","$2,003.00 ","$80,000 ",permanent,,"yes, health, dental, paid holidays, vacation, and personal days",2019,23, Massachusetts parental leave law ,female,Caucasian ,Masters of Science,,
Oklahoma History Center,Curator,Ethnology ,"Oklahoma City, OK",United States,"32,000",2017,"$21,000 ",40,20,No,2019,23,Full-time benefits,Female,Native American,"Masters, No supplemental support for Ed ",No,"Communal Knowledge required, federal and state policy required. "
